V,V_in,I_in,V_i,V_2x,T
0.2,0.2001522,9.101701e-05,0.408242,0.207825,30.59
0.2,0.2001511,9.10153e-05,0.408053,0.208047,30.6
0.2,0.2001521,9.101547e-05,0.408327,0.207982,30.610001
0.2,0.200152,9.101583e-05,0.40821,0.2082,30.629999
0.2,0.2001511,9.101554e-05,0.408057,0.207974,30.65
0.2,0.2001526,9.10161e-05,0.40817,0.207885,30.67
0.2,0.2001522,9.101515e-05,0.408129,0.207982,30.68
0.2,0.2001532,9.101444e-05,0.408206,0.208099,30.68
0.2,0.2001512,9.101399e-05,0.40817,0.207978,30.700001
0.2,0.2001522,9.10141e-05,0.408129,0.207926,30.700001
0.2,0.2001523,9.101335e-05,0.40817,0.208059,30.690001
0.2,0.2001524,9.101261e-05,0.408085,0.207942,30.700001
0.2,0.2001517,9.101278e-05,0.408161,0.207942,30.709999
0.2,0.2001512,9.10114e-05,0.408246,0.208039,30.709999
0.2,0.2001508,9.100974e-05,0.408093,0.20793,30.719999
0.2,0.2001524,9.100933e-05,0.40829,0.208026,30.74
0.2,0.200151,9.100935e-05,0.408061,0.207873,30.75
0.2,0.2001507,9.100843e-05,0.408157,0.207946,30.75
0.2,0.2001513,9.100755e-05,0.40827,0.207785,30.74
0.2,0.2001513,9.10071e-05,0.408085,0.207885,30.73
0.25,0.2500366,0.0001112626,0.507532,0.258646,30.73
0.25,0.2500372,0.0001112626,0.507492,0.258715,30.719999
0.25,0.2500359,0.0001112609,0.507564,0.258469,30.74
0.25,0.2500372,0.0001112601,0.507609,0.258904,30.74
0.25,0.2500373,0.0001112611,0.507536,0.258521,30.73
0.25,0.2500377,0.0001112597,0.507576,0.258812,30.719999
0.25,0.2500363,0.0001112605,0.50752,0.258558,30.709999
0.25,0.2500372,0.0001112604,0.507568,0.258501,30.719999
0.25,0.2500362,0.0001112586,0.50748,0.258433,30.709999
0.25,0.2500364,0.0001112583,0.507552,0.258445,30.690001
0.25,0.2500372,0.0001112581,0.507568,0.258658,30.690001
